30056.197265625	(8, 12, 2)	[0.510649143460655, -0.9297084361435808, 0.976571918458248, -0.6545871057411126, -0.917695483988987, 0.7827682520519572, 0.1077037004467476, 0.33359901164653416, -0.7138479127127029, -0.09416236606467532, -0.2974095113665791, -0.16889790603469512, 0.7365879225321859, 0.38858200027991185, 0.46035773892536525, -0.8360271212587633, 0.7362119159354283, -0.9700074738433917, -0.9288087508852909, -0.8392631287630334, -0.3318686208087218, -0.9515819857965915, 0.8509779055765436, 0.3486582922678525, 0.1245750439456963, -0.3128234325460897, 0.2542964882067411, 0.6636251886421516, -0.8893781482344374, -0.9920431836079393, -0.40635505484864676, 0.32210994487157585, -0.9571395958954843, 0.4442894525075405, -0.77550215273125, 0.8175060685859594, 0.5327442579874975, 0.20663326398647497, -0.24708967776204238, 0.8707940341088465, -0.6051885087463786, -0.7802160762522787, 0.3002601710359094, -0.5969158768981515, -0.24212583419147404, 0.8593453573205276, 0.7375231000583846, -0.8155744126380979, -0.032157347200944875, 0.9133695562318502, -0.8477758377348088, -0.598844856853858, -0.6880118151859367, 0.4814484858348158, 0.9795596997756, 0.8029240447996402, 0.2820626740132943, 0.11200398885624674, 0.023846579463198125, -0.612125813524067, 0.7369232129089123, -0.220772782894759, 0.3743959630696294, 0.8753710529397791, -0.23950206151229203, 0.6407515907071473, -0.3485791617186942, -0.18421729180406898, -0.37835051799892816, -0.75851949722919, -0.7005400973202005, -0.6712839283518688, 0.8050689443224799, -0.5302069956303568, 0.19334315414173253, 0.6674385911603691, -0.5881936946364419, -0.15709239282917897, -0.7266119544504981, 0.422327747827395, -0.8015575474610666, 0.20001543534225297, 0.17031198785623913, -0.8194606731684737, -0.250066545624261, 0.22036857292793588, -0.7048388194778659, 0.7414953265770095, -0.5779632292621053, -0.2055034571572678, -0.8026190195314811, 0.44879405117450455, 0.5672060496815459, 0.9137611443950919, -0.4102679215412659, 0.22196760753193212, 0.5737702941652929, 0.46960865879901115, 0.1963057880547534, -0.8500095313607288, -0.2875000933273977, -0.41220419813785303, 0.7815251572955384, 0.797067274373324, 0.006940838776594793, -0.4065521201185758, -0.31986490384236754, 0.128863470029706, -0.10194346526242981, 0.051545270499611995, 0.055888702302225646, 0.20912911791946298, 0.8960412491876366, -0.22520633011184676, 0.031370402466614156, -0.6135050194333254, 0.41280862725028755, -0.6753184141974495, -0.1378655727257423, 0.3219152951339359]
26582.404296875	(8, 12, 2)	[0.6426547846505306, -0.06973723631296558, 0.29475480828893064, -0.6755435705080521, -0.7500930754205197, 0.2547945242500498, -0.3936545715526689, 0.6595489751685801, -0.1177999518738142, -0.2518411338424942, -0.8842056667139062, 0.10616550850326556, -0.7643487831916773, 0.6329334824371726, 0.3499367235433537, 0.7443314794302207, 0.17442720703362524, -0.6967683811313607, -0.021927583837172637, 0.6647804894265943, -0.46039923072483346, -0.7482568497033952, -0.590574098609431, 0.5752123472345314, -0.2029284776422883, -0.8013977467389157, 0.6324321810779074, 0.947262623941378, 0.36494540015059274, 0.8039566448108622, -0.8140807744005132, -0.7675853170694074, -0.3743756522607018, 0.5707170068878178, -0.8212252353287477, 0.9639618986099072, 0.3308167479241104, 0.815550294881817, -0.3177357291093985, -0.9829801226069212, -0.18743780594771486, 0.18949911672274178, -0.009925547092928477, 0.1986830234487591, -0.09691739580076941, 0.6854790977881489, 0.384654085792169, -0.5833216604181446, -0.7996937830433974, 0.4760792633553961, -0.29180202498859975, -0.3292584700807313, 0.5734920665853063, 0.8297306038711805, -0.33159256189059416, 0.5672926162056515, 0.06910594515906365, -0.495156305582936, -0.8904679946375935, 0.04695265009037808, -0.7814892063093781, 0.3677341815634181, -0.07768762863353218, 0.395613028085986, 0.07236158001098136, -0.39827126507361177, -0.05797914611818533, -0.13888391961912538, 0.03518014311695716, 0.0792659521334993, 0.9030686669968462, -0.8969634091234804, -0.8324741565780227, 0.025392417916777932, -0.007604356311126326, -0.3903978187718953, 0.9660852201826973, 0.9426775511331513, 0.39836494160645874, 0.29931198129847125, 0.39818405995152895, 0.808289413385221, -0.34090513278437684, -0.28518515997626626, 0.8887502337821938, -0.9339101297735128, 0.408831105241674, -0.6946216054942318, -0.518305189381689, -0.9893716970228341, 0.3404424716488883, 0.5365995295765853, -0.5445761199315828, 0.2946493954151723, -0.29603455004489376, 0.400919820378727, 0.9909873533892881, -0.48890447822954, 0.41612193697894506, -0.013643259713248757, -0.17390019408333313, -0.7790442774230688, -0.8047962828421227, -0.0970366614966176, -0.6768997537019723, -0.8591742349632976, 0.6266721966204212, -0.9280302623008194, -0.8003148893764531, -0.595769232490345, -0.02434822261731795, 0.8667483021922657, -0.30776599123133863, 0.08478399730021557, 0.5803427990582493, 0.37729698726170136, -0.7210169309347161, 0.4600362074931321, -0.29868265913794323, 0.08340952372311428]
17921.0703125	(8, 12, 2)	[-0.9899309778090153, -0.019042063622643823, 0.003804514993919428, -0.7737882314071911, -0.6617340719592397, 0.3867955554148459, -0.14566116721593625, 0.2616412997482038, -0.0765753264649438, -0.7707345719226597, 0.3787194252548325, 0.23367365097992843, -0.7725425273139237, -0.013183391210311202, 0.7384875933562178, -0.2091984821271562, 0.69095689284757, 0.817960342089393, -0.3782748240523306, 0.26158395326216843, 0.7477249647179207, -0.282116495087795, 0.2100647207336892, -0.3125949356618851, -0.5962319863565966, 0.08894971118922235, 0.36167052703055336, -0.5671686719445161, -0.22053955169503037, -0.5448858972074804, -0.8782444920314962, 0.7011331036157826, -0.614422743400552, -0.5757481207579829, -0.3592158797177265, -0.1347234057403921, 0.8199680945558605, 0.505736900090678, 0.15113916591865828, 0.9190223774293167, -0.5723578238098521, 0.6472541501377282, -0.07975241715512804, -0.019544405215313088, -0.928459509668365, 0.891241860879203, 0.8006477048022029, 0.7784624094344281, -0.47531796110050073, -0.17462732886976706, 0.840870912523997, -0.08214458991079043, 0.5450499486973748, -0.9659143701744177, 0.014223396341394468, 0.13630598182213993, -0.5032734806878523, -0.42976667057712015, -0.09139110895956648, -0.1863897224892035, -0.23242586404813093, -0.7132254151365254, -0.6722405674502563, 0.8162139615847017, 0.9461909686025141, -0.9457331525710202, 0.9405684110340062, 0.9019259719949821, 0.8674109851190313, 0.993321269668966, 0.35990641824382075, -0.24992574595527373, 0.557589677740848, 0.9161834815558381, -0.3904466588282747, 0.038786000028747214, -0.4655192029861366, 0.669095619288105, 0.436078413351352, -0.6479363259540536, -0.6836528515942288, -0.928716579817781, 0.7248414757083683, -0.05217987960759696, 0.8250407562887843, 0.6060477032735405, -0.1221655983719474, -0.31838922815542325, -0.4758234986430667, 0.7962301014828643, -0.2724880619685359, 0.9583412250909702, -0.9834552435973549, -0.19076095576120977, -0.4167393552928522, -0.5053801977603056, 0.05034690848847134, -0.08584831396154025, -0.05883347642127701, -0.3651944124585236, -0.13809935331069467, -0.7631672272664927, 0.12761295133737516, 0.8215257463316188, -0.2958795817567319, 0.9098282356272878, 0.15402135513054183, 0.367646301450419, -0.176555636331444, 0.29924662445844286, -0.78466281259939, 0.6041154648022897, 0.8189647815557775, -0.10609898777769078, -0.0611352219213106, 0.6117197333662003, -0.43944566874856794, 0.2924598488327803, 0.5634213170714817, -0.7000232962237354]
27270.912109375	(8, 12, 2)	[0.6426547846505306, -0.06973723631296558, 0.29475480828893064, -0.6755435705080521, -0.7500930754205197, 0.2547945242500498, -0.3936545715526689, 0.6595489751685801, -0.1177999518738142, -0.2518411338424942, -0.8842056667139062, -0.9355018514891666, -0.6157510465536313, 0.7724872609777786, -0.3211090206008489, 0.9831973531702076, -0.42688221112863767, 0.8877357750303356, 0.9233695972483043, 0.4796379989571673, 0.019898039577565863, 0.47182278421594415, 0.33577067995098675, 0.48698001852623785, 0.5741988294760401, 0.023385820179944616, -0.4537796436995474, 0.035395004590154766, 0.8044239020172967, -0.9165373888022297, -0.4050184571819877, 0.764944040229528, 0.03476709277579326, -0.5118813924626602, -0.8078678335405629, 0.7057952366312905, 0.8922877527682473, -0.9645440828360414, -0.840363182394948, -0.7032805485398264, 0.5454677917251329, -0.8236438012016001, -0.8378058209636043, 0.7561447430769688, 0.35624387608503216, -0.9074630535095831, 0.2873478455613672, -0.35742725068055736, -0.9554881003565134, -0.5520001062898479, 0.07520451130111439, 0.33027908710958376, 0.6050589493542249, -0.011745019786262967, -0.0026291603210295555, 0.7637609365046745, -0.02505522314378905, 0.6716643009564962, 0.9288511219190243, 0.2761817528196169, 0.0490488221179981, -0.0318433409916179, -0.57172448283786, -0.8861756085282426, -0.3211145552026291, -0.8538247251717372, 0.11451289244733487, -0.5879885364082269, -0.44778669430337215, -0.9289056097268436, -0.7423430946598997, -0.3018073232345393, -0.8413146659766646, 0.2304065617414044, 0.458223800869596, -0.7167872151237333, 0.21162558718103752, 0.8371734894685694, 0.5914898489549112, 0.16920767467818187, -0.25212259122575453, 0.09890197294283531, 0.48628308234803375, 0.15516570113146622, 0.0455087982207969, -0.899066810337023, 0.290325879982434, -0.17646715490533404, -0.9324806057664397, 0.7429305679539211, -0.4842747188583649, 0.1792276176096117, 0.7162083628084372, 0.7840832170272571, 0.054194049729964236, 0.5650200265230259, 0.04718719350171119, 0.11685424975965297, 0.11851133836836802, -0.9655759700458024, 0.8720296513544266, -0.8765564472181295, -0.5834120216643899, 0.07588214440256236, 0.7566625658030863, 0.9673480739937561, 0.6015208534755458, -0.43573216570937023, 0.26627776764105415, 0.8750788864344687, 0.6129943299107237, -0.22266152603682854, 0.9091958025290536, 0.9469582004926025, -0.7993096141763512, -0.7103588126885978, -0.23003470255795322, -0.9400624755686862, -0.36274260999911645, -0.4676539312591137]
27679.611328125	(8, 12, 2)	[0.6590532778833111, 0.008990845568120243, 0.11205218051882437, 0.8698253493940049, -0.5171695672896883, 0.8560401530174925, -0.5765579345051852, 0.0510680664583989, 0.3759183092963154, -0.017971232137043547, 0.0626548591421574, -0.05224613962941316, -0.4348152334596136, 0.991205605279248, 0.13522870309477897, 0.42415809723503406, -0.9772991717515584, 0.31474744713176284, 0.661851430582749, -0.6034984877842033, -0.542102397992871, -0.3256772272765476, 0.07202431447186686, 0.10076403778379217, -0.6211192579052547, 0.37444260704443333, 0.789241584025244, 0.6631089154802956, 0.23172682142179046, -0.14851982753248505, -0.5370608126038121, -0.842906815693137, -0.8299955553991383, 0.676810516472546, -0.03518320757490856, 0.9900761577013262, -0.028644037603118955, -0.8025967831480587, 0.06745502825739891, 0.999943912081213, 0.05831891252377508, -0.3236453731025035, -0.6233373362866452, 0.5717626489953342, -0.9360438063282461, -0.8489654602822656, 0.159210178132291, -0.5980812843911811, -0.9121685908797088, -0.48526848273431744, 0.8912056823757302, -0.5167776331430942, 0.5909976913820365, 0.1464084013606044, 0.8141086450371473, 0.8493839891266035, 0.46491982982440394, 0.9736121875945032, -0.018079843197497558, 0.34445917914598545, -0.5160556253639239, 0.9579041737091532, -0.12154513086413243, -0.19607434345536157, 0.16961868499118582, -0.9669395480200835, 0.17861439568254855, 0.2421125902597765, -0.911276165720569, 0.9445275992018205, -0.7602663989568306, 0.060502150239293506, -0.2211126789638762, -0.4609830093463836, 0.17506782758949535, 0.20054864807109407, 0.4432739241951431, 0.5658034455817267, 0.9475256929075306, -0.3472773347751248, 0.06114016053435778, -0.8900485443366855, 0.11501355614711506, -0.5062189262734835, 0.3569033839142779, 0.6176177990603473, -0.8683542605784704, -0.6679559898337595, 0.600161803070775, 0.04690487607901139, 0.6816560724746936, 0.26265808043582517, 0.06218955417576355, 0.694428527813947, 0.9836717500038592, 0.07214491877066864, -0.17972105693516705, 0.9211231771463289, 0.3201797635911401, -0.8500095313607288, -0.2875000933273977, -0.41220419813785303, 0.7815251572955384, 0.797067274373324, 0.006940838776594793, -0.4065521201185758, -0.31986490384236754, 0.128863470029706, -0.10194346526242981, 0.051545270499611995, 0.055888702302225646, 0.20912911791946298, 0.8960412491876366, -0.22520633011184676, 0.031370402466614156, -0.6135050194333254, 0.41280862725028755, -0.6753184141974495, -0.1378655727257423, 0.3219152951339359]
29167.240234375	(8, 12, 2)	[0.6474575842887744, -0.9708113466527284, -0.11370055885444197, -0.46778897703418054, -0.7500930754205197, 0.2547945242500498, -0.3936545715526689, 0.6595489751685801, -0.1177999518738142, -0.2518411338424942, -0.8842056667139062, -0.9355018514891666, -0.6157510465536313, 0.7724872609777786, -0.3211090206008489, 0.9831973531702076, -0.5868725249106672, 0.8877357750303356, 0.9233695972483043, 0.4796379989571673, 0.019898039577565863, 0.47182278421594415, 0.33577067995098675, 0.48698001852623785, 0.5741988294760401, 0.023385820179944616, -0.4537796436995474, 0.035395004590154766, 0.8044239020172967, -0.9165373888022297, -0.4050184571819877, 0.764944040229528, 0.03476709277579326, -0.5118813924626602, -0.8078678335405629, 0.7057952366312905, 0.8922877527682473, -0.9645440828360414, -0.840363182394948, -0.7032805485398264, 0.5454677917251329, -0.8236438012016001, -0.8378058209636043, 0.7561447430769688, 0.35624387608503216, -0.9074630535095831, 0.2873478455613672, -0.35742725068055736, -0.9554881003565134, -0.5520001062898479, 0.07520451130111439, 0.33027908710958376, 0.6050589493542249, -0.011745019786262967, -0.0026291603210295555, 0.7637609365046745, -0.02505522314378905, 0.6716643009564962, 0.9288511219190243, 0.2761817528196169, 0.0490488221179981, -0.0318433409916179, -0.57172448283786, -0.8861756085282426, -0.3211145552026291, -0.8538247251717372, 0.11451289244733487, -0.5879885364082269, -0.44778669430337215, -0.9289056097268436, -0.7423430946598997, -0.3018073232345393, -0.8413146659766646, 0.2304065617414044, 0.458223800869596, -0.7167872151237333, 0.21162558718103752, 0.8371734894685694, 0.5914898489549112, 0.16920767467818187, -0.25212259122575453, 0.09890197294283531, 0.48628308234803375, 0.15516570113146622, 0.0455087982207969, -0.899066810337023, 0.290325879982434, -0.17646715490533404, -0.9324806057664397, 0.7429305679539211, -0.4842747188583649, 0.1792276176096117, 0.7162083628084372, 0.7840832170272571, -0.34388612276748187, -0.6689085178092451, -0.3887913744322409, 0.4096095714648549, 0.5585408812467256, -0.15011016612808703, -0.9056336913541179, 0.0017881455200468022, 0.831322823815271, -0.982269624104037, 0.34366728734288365, 0.09956459885722024, 0.11074813179517506, 0.11857130606989275, 0.7954265274596604, -0.9089941968959934, 0.3067293402060809, -0.10534618107168203, 0.3773686208669804, 0.11365676404854463, -0.49782929645368634, -0.8976485493130504, -0.363878044038078, 0.1079084589578374, -0.6567931480372553, -0.9401594657763546]
43033.1875	(8, 12, 2)	[-0.9899309778090153, -0.019042063622643823, 0.003804514993919428, -0.7737882314071911, -0.6617340719592397, 0.3867955554148459, -0.14566116721593625, 0.9893812675570985, -0.8241770761857814, 0.17509740109948768, -0.00822985051894154, 0.21634854868870068, -0.3921857999084184, -0.946716634799531, -0.1439991057664527, -0.6337827912919245, -0.4999924563685916, 0.13677877461872923, 0.9453359504748102, -0.7550293247227542, -0.35987215446086385, -0.14531777616432306, 0.5979046686166269, -0.7797447614585855, 0.17384616161282018, -0.12976846955124813, 0.05556756519243522, 0.2138250143830549, 0.530198491019592, 0.6706676268821938, 0.5191196387140047, 0.4006768501925455, 0.17588766451910254, 0.10128740412330317, 0.4011409721918835, 0.49905594943007303, -0.6619855329721589, 0.8164718377045709, 0.21696044336471276, 0.7588749999146325, -0.3827195660684828, -0.2190207412965799, -0.2178045985979813, -0.021782911040125752, 0.309444877505205, -0.6721980157827274, -0.8223436305949137, 0.9488232876856983, 0.026944975837432716, 0.01802951044250789, -0.7852292835615835, 0.718424740660907, 0.8625816513126587, 0.2915844631609239, 0.9966633655077539, 0.8840837857466717, -0.8751089393777602, -0.10649131653774191, -0.21293503540773706, 0.4724506057054491, -0.8308630582593675, -0.33671090402268744, -0.6169694475185106, 0.3412373872792094, 0.08130154635753195, -0.008863645891365568, -0.865714990544475, 0.25802520463330336, 0.3974771765486529, -0.6411800385476805, 0.12531400101555112, 0.2588323514408388, -0.33741636159040134, -0.25095761003871586, 0.11391344937000403, 0.043959881275927426, 0.0653904746684455, -0.35846844385841514, 0.12639601664811265, 0.7993695376552821, -0.4941225401292424, -0.9783268256120821, -0.8273813096320668, -0.5062189262734835, 0.3569033839142779, 0.6176177990603473, -0.8683542605784704, -0.17646715490533404, -0.9324806057664397, 0.7429305679539211, -0.4842747188583649, 0.1792276176096117, 0.7162083628084372, 0.7840832170272571, 0.054194049729964236, 0.5650200265230259, 0.04718719350171119, 0.11685424975965297, 0.11851133836836802, -0.9655759700458024, 0.8720296513544266, -0.8765564472181295, -0.5834120216643899, 0.07588214440256236, 0.7566625658030863, 0.9673480739937561, 0.6015208534755458, -0.43573216570937023, 0.21085864148576935, 0.8750788864344687, 0.6129943299107237, -0.22266152603682854, 0.9091958025290536, 0.9469582004926025, -0.7993096141763512, -0.7103588126885978, -0.1304298148754095, -0.9400624755686862, -0.36274260999911645, -0.4676539312591137]
30445.806640625	(8, 12, 2)	[0.6474575842887744, -0.9708113466527284, -0.11370055885444197, -0.46778897703418054, 0.7544470826440512, 0.6410746655074209, 0.38551917791092194, 0.6941195222286038, -0.11413021857851602, 0.7807415426990498, 0.9681558103261714, -0.17068894718260652, 0.8276498358290474, -0.0606624602662702, -0.562260440758283, -0.8360271212587633, 0.7362119159354283, -0.9700074738433917, -0.9288087508852909, -0.8392631287630334, -0.3318686208087218, -0.9515819857965915, 0.8509779055765436, 0.3486582922678525, 0.1245750439456963, -0.3128234325460897, 0.2542964882067411, 0.6636251886421516, -0.8893781482344374, -0.9920431836079393, -0.40635505484864676, 0.32210994487157585, -0.9571395958954843, 0.4442894525075405, -0.77550215273125, 0.8175060685859594, 0.5327442579874975, 0.20663326398647497, -0.24708967776204238, 0.8707940341088465, -0.6051885087463786, -0.7802160762522787, 0.3002601710359094, -0.5969158768981515, -0.24212583419147404, 0.8593453573205276, 0.7375231000583846, -0.8155744126380979, -0.032157347200944875, 0.9133695562318502, -0.8477758377348088, -0.598844856853858, -0.6880118151859367, 0.4814484858348158, 0.9795596997756, -0.9645453633737515, -0.5527717428980807, 0.14952892411528929, -0.2752625332623897, -0.8060182114415044, -0.4243989342593289, -0.26635815797824836, 0.3625736399458837, -0.006545942187691889, 0.7286209670867372, 0.767976825835146, -0.6569945861780111, 0.5042201150216932, 0.0838643463017692, -0.12811969375013454, -0.12395196968180322, 0.4215983653570283, -0.9417579580964699, -0.26545522753764716, -0.4523803837420324, -0.34513366736513973, -0.3142620264017575, -0.6816822167714631, -0.3725342207977964, -0.10273288093120359, -0.7211014413127397, 0.6465777175927838, -0.5512162621892962, -0.6425701797793999, 0.3491471650517113, -0.4623400584796713, -0.2755245936960842, -0.48968536745439173, 0.2882105781475197, 0.8212001246730345, -0.9733024555435197, 0.6468019924414239, 0.7593746773993155, -0.4687907942943479, -0.1472433507653894, 0.42972025917675727, 0.5725955128815947, -0.8758681255356358, -0.9471367906302661, -0.11910447096587129, 0.2551344720374715, 0.5603125404224317, 0.6894824620988778, 0.7716134667642842, 0.9160074193166239, 0.2675388393732101, -0.1635014077230894, -0.6522103758239539, -0.0993931638543617, 0.24628272258620565, -0.48515139671773033, -0.22266152603682854, 0.9091958025290536, 0.9469582004926025, -0.7993096141763512, -0.7103588126885978, 0.8264758688373692, -0.07774189033410805, 0.30583307620445455, -0.08283590156154363]
48301.83203125	(8, 12, 2)	[0.510649143460655, -0.9297084361435808, 0.976571918458248, -0.6545871057411126, -0.917695483988987, 0.6706532597851597, 0.1077037004467476, 0.33359901164653416, -0.7138479127127029, -0.09416236606467532, -0.2974095113665791, -0.16889790603469512, 0.7365879225321859, 0.38858200027991185, 0.46035773892536525, -0.8360271212587633, 0.7362119159354283, -0.9700074738433917, -0.9288087508852909, -0.8392631287630334, -0.3318686208087218, -0.9515819857965915, 0.8509779055765436, 0.2264367245045656, 0.1245750439456963, -0.3128234325460897, 0.2542964882067411, 0.6636251886421516, -0.8893781482344374, -0.9920431836079393, -0.40635505484864676, 0.32210994487157585, -0.9571395958954843, 0.4442894525075405, -0.77550215273125, 0.8175060685859594, 0.5327442579874975, 0.20663326398647497, -0.24708967776204238, 0.8707940341088465, -0.6051885087463786, -0.7802160762522787, 0.3002601710359094, -0.5969158768981515, -0.24212583419147404, 0.8593453573205276, 0.7375231000583846, -0.8155744126380979, -0.032157347200944875, 0.9133695562318502, -0.8477758377348088, -0.5983643432208037, -0.6880118151859367, 0.4814484858348158, 0.9795596997756, 0.8029240447996402, 0.2820626740132943, 0.02733533476753089, 0.133742550563146, -0.612125813524067, 0.7369232129089123, -0.220772782894759, 0.3743959630696294, 0.8753710529397791, -0.23950206151229203, 0.6407515907071473, -0.3485791617186942, -0.18421729180406898, -0.37835051799892816, -0.75851949722919, -0.7005400973202005, -0.6712839283518688, 0.8050689443224799, -0.5302069956303568, 0.19334315414173253, 0.6674385911603691, -0.5881936946364419, -0.15709239282917897, -0.7266119544504981, 0.422327747827395, -0.8015575474610666, 0.20001543534225297, 0.17031198785623913, -0.8194606731684737, -0.250066545624261, -0.899066810337023, 0.290325879982434, -0.17646715490533404, -0.9324806057664397, 0.7429305679539211, -0.4842747188583649, 0.1792276176096117, 0.7162083628084372, 0.7840832170272571, 0.08185043035745565, 0.5650200265230259, 0.04718719350171119, 0.11685424975965297, 0.11851133836836802, -0.9655759700458024, 0.8720296513544266, -0.8765564472181295, -0.5834120216643899, 0.07588214440256236, 0.7566625658030863, 0.9673480739937561, 0.6015208534755458, -0.43573216570937023, 0.26627776764105415, 0.8750788864344687, 0.6129943299107237, -0.22266152603682854, 0.9091958025290536, 0.9469582004926025, -0.7993096141763512, -0.7103588126885978, 0.8264758688373692, -0.07774189033410805, 0.30583307620445455, -0.08283590156154363]
43235.1171875	(8, 12, 2)	[0.6474575842887744, -0.9708113466527284, -0.11370055885444197, -0.5625762591490452, 0.7544470826440512, 0.6410746655074209, 0.28746076961224454, 0.6941195222286038, -0.11413021857851602, 0.7807415426990498, 0.9681558103261714, -0.17068894718260652, 0.8276498358290474, -0.0606624602662702, -0.562260440758283, -0.8360271212587633, 0.7362119159354283, -0.9700074738433917, -0.9288087508852909, -0.8392631287630334, -0.3318686208087218, -0.9515819857965915, 0.8509779055765436, 0.3486582922678525, 0.1245750439456963, -0.3128234325460897, 0.2542964882067411, 0.6636251886421516, -0.8893781482344374, -0.9920431836079393, -0.40635505484864676, 0.32210994487157585, -0.9571395958954843, 0.4442894525075405, -0.77550215273125, 0.8175060685859594, 0.5327442579874975, 0.20663326398647497, -0.24708967776204238, 0.8707940341088465, -0.6051885087463786, -0.7802160762522787, 0.3002601710359094, -0.5969158768981515, -0.24212583419147404, 0.8593453573205276, 0.7375231000583846, -0.8155744126380979, -0.032157347200944875, 0.9133695562318502, -0.8477758377348088, -0.598844856853858, -0.6880118151859367, 0.4814484858348158, 0.9795596997756, -0.9645453633737515, -0.5527717428980807, 0.14952892411528929, -0.2752625332623897, -0.8060182114415044, -0.4243989342593289, -0.26635815797824836, 0.3625736399458837, -0.006545942187691889, 0.7286209670867372, 0.7227260026574496, -0.6569945861780111, 0.5042201150216932, 0.0838643463017692, -0.12811969375013454, -0.12395196968180322, 0.4215983653570283, -0.9417579580964699, -0.26545522753764716, -0.4523803837420324, -0.34513366736513973, -0.3142620264017575, -0.6816822167714631, -0.3725342207977964, -0.10273288093120359, -0.7211014413127397, 0.6465777175927838, -0.5512162621892962, -0.6425701797793999, 0.3491471650517113, -0.4623400584796713, -0.2755245936960842, -0.48968536745439173, 0.2882105781475197, 0.8212001246730345, -0.9733024555435197, 0.6468019924414239, 0.7593746773993155, -0.4687907942943479, -0.1472433507653894, 0.42972025917675727, 0.5725955128815947, 0.4096095714648549, 0.5585408812467256, -0.15011016612808703, -0.9056336913541179, 0.0017881455200468022, 0.831322823815271, -0.982269624104037, 0.34366728734288365, 0.09956459885722024, 0.11074813179517506, 0.11857130606989275, 0.8525045101104127, -0.9089941968959934, 0.3067293402060809, -0.10534618107168203, 0.3773686208669804, 0.24943927347416814, -0.49782929645368634, -0.8976485493130504, -0.363878044038078, 0.1079084589578374, -0.6567931480372553, -0.9401594657763546]
